,id,name,price,year,quality,type,volume_l,fuel_type,Kpp,text,date,city,link
21,124252233,Toyota Estima,5200000,2011,Б/у,минивэн,3.5, бензин, правый руль,"2011 г., Б/у минивэн, 3.5 л, бензин, правый руль, КПП автомат, с пробегом 131 500 км, белый, металлик, литые диски, то...",19 сентября,Атырау,https://kolesa.kz//a/show/124252233
22,125000325,Porsche Macan,30500000,2020,Б/у,кроссовер,2, бензин, КПП робот,"2020 г., Б/у кроссовер, 2 л, бензин, КПП робот, с пробегом 4 000 км, синий, металлик, Состояние нового автомобиля. Из...",19 сентября,Алматы,https://kolesa.kz//a/show/125000325
23,125544018,Toyota Land Cruiser Prado,10500000,2008,Б/у,внедорожник,2.7, бензин, КПП автомат,"2008 г., Б/у внедорожник, 2.7 л, бензин, КПП автомат, белый, литые диски, тонировка, спойлер, ветровики, рейлинги, про...",19 сентября,Алматы,https://kolesa.kz//a/show/125544018
24,125696131,Mitsubishi Pajero,6900000,2005,Б/у,внедорожник,3, бензин, КПП автомат,"2005 г., Б/у внедорожник, 3 л, бензин, КПП автомат, с пробегом 195 000 км, серый, металлик, литые диски, тонировка, ве...",19 сентября,Кокшетау,https://kolesa.kz//a/show/125696131
25,123642228,Suzuki Escudo,3300000,1996,Б/у,внедорожник,2, бензин, правый руль,"1996 г., Б/у внедорожник, 2 л, бензин, правый руль, КПП автомат, зеленый, литые диски, рейлинги, тонировка, кенгурятни...",19 сентября,Павлодар,https://kolesa.kz//a/show/123642228
26,125544467,Daewoo Matiz,1650000,2012,Б/у,хэтчбек,0.8, бензин, КПП механика,"2012 г., Б/у хэтчбек, 0.8 л, бензин, КПП механика, с пробегом 100 000 км, бежевый, велюр, кондиционер, налог уплачен,...",19 сентября,Жетысай,https://kolesa.kz//a/show/125544467
27,125527641,Audi 80,1500000,1992,Б/у,седан,2.3, бензин, КПП механика,"1992 г., Б/у седан, 2.3 л, бензин, КПП механика, с пробегом 300 000 км, серебристый, металлик, литые диски, тонировка,...",19 сентября,Шымкент,https://kolesa.kz//a/show/125527641
28,125527328,ГАЗ ГАЗель,2799999,2006,Б/у,фургон,2.9, газ-бензин, КПП механика,"2006 г., Б/у фургон, 2.9 л, газ-бензин, КПП механика",19 сентября,Актау,https://kolesa.kz//a/show/125527328
29,125527687,ВАЗ (Lada) Priora 2172 (хэтчбек),1300000,2008,Б/у,хэтчбек,1.6, бензин, КПП механика,"2008 г., Б/у хэтчбек, 1.6 л, бензин, КПП механика, Машина в хорошим состоянии. Кондиционер.16 клапан выямка. Есть небо...",19 сентября,Атырау,https://kolesa.kz//a/show/125527687
30,125527019,Volkswagen Passat,2100000,1995,Б/у,седан,2, бензин, КПП автомат,"1995 г., Б/у седан, 2 л, бензин, КПП автомат, с пробегом 300 000 км, белый",19 сентября,Сарыагаш,https://kolesa.kz//a/show/125527019
31,125432586,Audi A4,2700000,2005,Б/у,седан,2, бензин, КПП вариатор,"2005 г., Б/у седан, 2 л, бензин, КПП вариатор, с пробегом 245 000 км, черный, металлик, литые диски, тонировка, велюр,...",19 сентября,Павлодар,https://kolesa.kz//a/show/125432586
32,124148260,Land Rover Range Rover Sport,4500000,2008,Б/у,внедорожник,4.4, бензин, КПП автомат,"2008 г., Б/у внедорожник, 4.4 л, бензин, КПП автомат, с пробегом 190 000 км, черный, литые диски, тонировка, ксенон, п...",19 сентября,Аксай,https://kolesa.kz//a/show/124148260
33,125174777,Nissan Primera,1200000,1998,Б/у,седан,2, бензин, КПП автомат,"1998 г., Б/у седан, 2 л, бензин, КПП автомат, с пробегом 200 398 км, красный, металлик, спойлер, обвес, ветровики, вел...",19 сентября,Нур-Султан (Астана),https://kolesa.kz//a/show/125174777
34,125225439,Mercedes-Benz G 500,18000000,2008,Б/у,внедорожник,5, бензин, КПП автомат,"2008 г., Б/у внедорожник, 5 л, бензин, КПП автомат, с пробегом 142 000 км, белый",19 сентября,Кызылорда,https://kolesa.kz//a/show/125225439
